,CV0,CV1,CV2,CV3,CV4
log_低密度脂蛋白胆固醇,0,0,0,0,0
红细胞平均血红蛋白浓度*淋巴细胞%,0,0,0,0,0
log_高密度脂蛋白胆固醇,0,0,0,0,0
log_甘油三酯,0,0,0,0,0
中性粒细胞%*嗜酸细胞%,0,0,0,0,0
中性粒细胞%*嗜碱细胞%,0,1,0,0,0
淋巴细胞%*单核细胞%,0,0,0,0,0
淋巴细胞%*嗜酸细胞%,0,0,0,0,0
淋巴细胞%*嗜碱细胞%,0,0,0,0,0
单核细胞%*嗜酸细胞%,0,0,0,0,0
单核细胞%*嗜碱细胞%,0,0,0,0,0
log_年龄,0,0,0,0,0
log_*天门冬氨酸氨基转换酶,0,0,0,0,0
log_*丙氨酸氨基转换酶,0,0,0,0,0
log_*r-谷氨酰基转换酶,0,0,0,0,0
log_*总蛋白,0,0,0,0,0
log_白蛋白,0,0,0,0,0
log_*球蛋白,0,0,0,0,0
log_白球比例,0,0,0,0,0
log_总胆固醇,0,0,0,0,0
红细胞平均血红蛋白浓度*中性粒细胞%,0,0,0,0,0
红细胞平均血红蛋白浓度*血小板比积,0,0,0,0,0
红细胞平均血红蛋白浓度*血小板体积分布宽度,0,0,0,0,0
红细胞计数*血小板体积分布宽度,0,0,0,0,0
红细胞计数*血小板比积,0,0,0,0,0
红细胞计数*中性粒细胞%,0,0,0,0,0
红细胞计数*淋巴细胞%,0,0,0,0,0
红细胞计数*单核细胞%,0,0,0,0,0
红细胞计数*嗜酸细胞%,0,0,0,0,0
红细胞计数*嗜碱细胞%,0,0,0,0,0
血红蛋白*红细胞压积,0,0,0,0,0
血红蛋白*红细胞平均体积,0,0,0,1,1
血红蛋白*红细胞体积分布宽度,0,0,0,0,0
血红蛋白*血小板计数,0,0,0,0,0
血红蛋白*血小板平均体积,0,0,0,0,0
血红蛋白*血小板体积分布宽度,0,0,0,0,0
血红蛋白*血小板比积,0,0,0,0,0
血红蛋白*中性粒细胞%,0,0,0,0,0
红细胞计数*血小板平均体积,0,0,0,0,0
血红蛋白*淋巴细胞%,0,0,0,0,0
红细胞计数*血小板计数,0,0,0,0,0
红细胞计数*红细胞平均血红蛋白浓度,0,0,0,0,0
白细胞计数*红细胞平均体积,0,0,0,0,0
白细胞计数*红细胞平均血红蛋白量,0,0,0,0,0
白细胞计数*红细胞平均血红蛋白浓度,0,0,0,0,0
白细胞计数*血小板计数,0,0,0,0,0
白细胞计数*血小板平均体积,0,0,0,0,0
白细胞计数*血小板体积分布宽度,0,0,0,0,0
白细胞计数*血小板比积,0,0,0,0,0
白细胞计数*中性粒细胞%,0,0,0,0,0
白细胞计数*淋巴细胞%,0,0,0,1,0
白细胞计数*嗜酸细胞%,0,0,0,0,0
白细胞计数*嗜碱细胞%,0,0,0,0,0
红细胞计数*血红蛋白,0,0,0,0,0
红细胞计数*红细胞压积,0,0,0,0,0
红细胞计数*红细胞平均体积,0,0,0,0,0
红细胞计数*红细胞平均血红蛋白量,0,0,0,0,0
红细胞计数*红细胞体积分布宽度,0,0,0,0,0
白细胞计数*血红蛋白,0,0,0,0,1
血红蛋白*嗜酸细胞%,0,0,0,0,0
红细胞压积*红细胞平均体积,0,1,0,0,0
红细胞平均体积*单核细胞%,0,1,0,0,0
红细胞平均体积*嗜酸细胞%,0,0,0,0,0
红细胞平均体积*嗜碱细胞%,0,0,0,0,0
红细胞平均血红蛋白量*红细胞平均血红蛋白浓度,0,0,0,0,0
红细胞平均血红蛋白量*红细胞体积分布宽度,0,0,0,0,0
红细胞平均血红蛋白量*血小板计数,0,0,0,0,0
红细胞平均血红蛋白量*血小板体积分布宽度,0,0,0,0,0
红细胞平均血红蛋白量*血小板比积,0,0,0,0,0
红细胞平均血红蛋白量*中性粒细胞%,0,0,0,0,0
红细胞平均血红蛋白量*淋巴细胞%,0,0,0,0,0
红细胞平均血红蛋白量*单核细胞%,0,0,0,0,0
红细胞平均血红蛋白量*嗜酸细胞%,0,0,0,0,0
红细胞平均血红蛋白量*嗜碱细胞%,0,0,0,0,0
红细胞平均血红蛋白浓度*血小板计数,0,0,0,0,0
红细胞平均血红蛋白浓度*血小板平均体积,0,0,0,0,0
红细胞平均体积*淋巴细胞%,0,0,0,0,0
血红蛋白*嗜碱细胞%,0,0,0,0,0
红细胞平均体积*中性粒细胞%,0,0,0,0,0
红细胞平均体积*血小板计数,0,0,1,0,0
红细胞压积*红细胞平均血红蛋白量,0,1,0,0,0
红细胞压积*红细胞平均血红蛋白浓度,0,0,0,0,0
红细胞压积*红细胞体积分布宽度,0,0,1,0,0
红细胞压积*血小板计数,0,0,0,0,0
红细胞压积*血小板平均体积,0,0,0,0,0
红细胞压积*血小板体积分布宽度,0,0,0,0,0
红细胞压积*血小板比积,0,1,0,0,0
红细胞压积*中性粒细胞%,0,0,0,0,0
红细胞压积*淋巴细胞%,0,0,0,0,0
红细胞压积*单核细胞%,0,0,0,0,0
红细胞压积*嗜酸细胞%,0,0,0,0,0
红细胞压积*嗜碱细胞%,0,0,0,0,0
红细胞平均体积*红细胞平均血红蛋白量,0,0,0,0,0
红细胞平均体积*红细胞平均血红蛋白浓度,0,0,0,0,0
红细胞平均体积*红细胞体积分布宽度,0,0,0,0,0
红细胞平均体积*血小板比积,0,0,0,0,0
*球蛋白*淋巴细胞%,0,0,0,0,0
白球比例*红细胞平均血红蛋白浓度,0,0,0,0,0
*球蛋白*血小板比积,0,0,0,0,0
*天门冬氨酸氨基转换酶*红细胞平均血红蛋白浓度,0,0,0,0,0
*天门冬氨酸氨基转换酶*红细胞平均血红蛋白量,0,0,0,0,0
*天门冬氨酸氨基转换酶*红细胞平均体积,0,0,0,0,0
*天门冬氨酸氨基转换酶*红细胞压积,0,0,0,0,0
*天门冬氨酸氨基转换酶*血红蛋白,0,0,0,0,0
*天门冬氨酸氨基转换酶*红细胞计数,0,1,0,0,0
*天门冬氨酸氨基转换酶*白细胞计数,0,1,0,0,0
*天门冬氨酸氨基转换酶*尿酸,0,0,0,0,0
*天门冬氨酸氨基转换酶*肌酐,0,0,0,0,0
*天门冬氨酸氨基转换酶*尿素,0,0,0,0,0
*天门冬氨酸氨基转换酶*低密度脂蛋白胆固醇,0,0,0,0,0
*天门冬氨酸氨基转换酶*高密度脂蛋白胆固醇,0,0,0,0,0
*天门冬氨酸氨基转换酶*总胆固醇,0,0,0,1,0
*天门冬氨酸氨基转换酶*甘油三酯,0,0,0,0,0
*天门冬氨酸氨基转换酶*白球比例,0,0,0,0,0
*天门冬氨酸氨基转换酶**球蛋白,0,1,0,0,1
*天门冬氨酸氨基转换酶*白蛋白,0,0,0,1,0
年龄*红细胞平均血红蛋白浓度,0,0,0,0,0
年龄*红细胞体积分布宽度,0,0,0,0,0
年龄*血小板计数,0,0,0,0,1
年龄*血小板平均体积,0,0,0,0,0
年龄*血小板体积分布宽度,0,0,0,0,0
年龄*血小板比积,0,0,0,0,0
*天门冬氨酸氨基转换酶*红细胞体积分布宽度,0,0,0,0,0
年龄*中性粒细胞%,0,0,0,0,0
年龄*嗜酸细胞%,0,0,0,1,0
年龄*嗜碱细胞%,0,0,0,0,1
*天门冬氨酸氨基转换酶**丙氨酸氨基转换酶,0,0,0,0,0
*天门冬氨酸氨基转换酶**碱性磷酸酶,0,0,0,0,0
*天门冬氨酸氨基转换酶**r-谷氨酰基转换酶,0,0,0,0,0
*天门冬氨酸氨基转换酶**总蛋白,0,0,0,0,0
年龄*单核细胞%,0,0,0,0,0
年龄*红细胞平均血红蛋白量,0,0,0,0,0
*天门冬氨酸氨基转换酶*血小板平均体积,0,1,0,0,0
*天门冬氨酸氨基转换酶*血小板比积,0,0,0,0,0
*丙氨酸氨基转换酶*嗜酸细胞%,0,0,0,0,0
*丙氨酸氨基转换酶*中性粒细胞%,0,0,0,0,0
*丙氨酸氨基转换酶*血小板比积,0,0,0,0,0
*丙氨酸氨基转换酶*血小板体积分布宽度,0,0,0,0,0
*丙氨酸氨基转换酶*血小板平均体积,0,0,0,0,0
*丙氨酸氨基转换酶*血小板计数,0,0,0,0,0
*丙氨酸氨基转换酶*红细胞体积分布宽度,0,0,0,0,0
*丙氨酸氨基转换酶*红细胞平均血红蛋白浓度,0,0,0,0,0
*丙氨酸氨基转换酶*红细胞平均血红蛋白量,0,0,0,0,0
*丙氨酸氨基转换酶*红细胞平均体积,0,0,0,0,0
*丙氨酸氨基转换酶*红细胞压积,0,0,0,0,0
*丙氨酸氨基转换酶*血红蛋白,0,0,0,0,0
*丙氨酸氨基转换酶*红细胞计数,0,0,0,0,0
*丙氨酸氨基转换酶*白细胞计数,0,0,0,0,0
*丙氨酸氨基转换酶*尿酸,0,0,0,0,0
*丙氨酸氨基转换酶*肌酐,0,1,0,0,1
*球蛋白*中性粒细胞%,0,0,0,0,0
*天门冬氨酸氨基转换酶*淋巴细胞%,0,0,0,0,0
*天门冬氨酸氨基转换酶*单核细胞%,0,0,0,0,0
*天门冬氨酸氨基转换酶*嗜酸细胞%,0,0,0,0,0
*天门冬氨酸氨基转换酶*嗜碱细胞%,0,0,0,0,0
*丙氨酸氨基转换酶**碱性磷酸酶,0,0,0,0,0
*丙氨酸氨基转换酶**r-谷氨酰基转换酶,0,0,0,0,0
*天门冬氨酸氨基转换酶*血小板体积分布宽度,0,0,0,0,0
*丙氨酸氨基转换酶**总蛋白,0,0,0,0,0
*丙氨酸氨基转换酶**球蛋白,0,0,0,0,0
*丙氨酸氨基转换酶*白球比例,0,0,1,0,0
*丙氨酸氨基转换酶*甘油三酯,0,0,0,0,0
*丙氨酸氨基转换酶*总胆固醇,0,0,0,0,0
*丙氨酸氨基转换酶*高密度脂蛋白胆固醇,0,0,1,0,0
*丙氨酸氨基转换酶*低密度脂蛋白胆固醇,0,0,0,0,0
*丙氨酸氨基转换酶*白蛋白,0,0,0,0,0
年龄*红细胞平均体积,0,0,0,0,0
年龄*红细胞压积,0,0,0,0,0
年龄*血红蛋白,0,0,0,0,0
甘油三酯verystrong,0,0,0,0,0
甘油三酯strong,0,0,0,0,0
*球蛋白strong,0,0,0,0,0
白蛋白strong,0,0,0,0,0
*总蛋白strong,0,0,0,0,0
*r-谷氨酰基转换酶strong,0,0,0,0,0
*碱性磷酸酶strong,0,0,0,0,0
*丙氨酸氨基转换酶strongsucce,0,0,0,0,0
*丙氨酸氨基转换酶strongcolor,0,0,0,0,0
*天门冬氨酸氨基转换酶strong,0,0,0,0,0
GFR,0,0,0,0,0
eGFR,0,0,1,0,1
年龄段,0,0,0,0,0
白红细胞比例,0,0,0,0,0
高低固醇比例,0,0,1,1,0
球蛋白/总蛋白,0,0,0,0,0
白蛋白/总蛋白,0,0,1,0,1
*丙氨酸氨基转换酶,0,0,2,1,2
白球比例,0,1,0,0,1
总胆固醇,0,0,0,0,0
高密度脂蛋白胆固醇,0,0,0,1,0
低密度脂蛋白胆固醇,0,0,1,0,0
肌酐,0,2,1,0,0
甘油三酯dead,0,0,0,0,0
血红蛋白,0,0,0,0,0
红细胞平均血红蛋白量,0,0,1,1,1
红细胞体积分布宽度,0,0,1,2,1
血小板平均体积,0,0,0,0,0
中性粒细胞%,0,2,0,1,1
单核细胞%,0,1,0,0,1
嗜碱细胞%,0,0,0,0,0
红细胞平均体积,0,0,0,0,0
总胆固醇strong,0,0,0,0,0
低密度脂蛋白胆固醇strong,0,0,0,0,0
尿素strong,0,0,0,0,0
年龄**丙氨酸氨基转换酶,0,0,0,0,0
年龄**碱性磷酸酶,0,0,0,0,0
年龄**r-谷氨酰基转换酶,0,0,0,0,0
年龄**总蛋白,0,0,0,0,0
年龄*白蛋白,0,0,0,0,0
年龄**球蛋白,0,1,0,0,1
年龄**天门冬氨酸氨基转换酶,0,1,0,0,0
年龄*白球比例,0,0,0,0,0
年龄*总胆固醇,0,0,0,0,0
年龄*高密度脂蛋白胆固醇,0,0,0,0,0
年龄*低密度脂蛋白胆固醇,0,0,0,0,0
年龄*尿素,0,0,0,0,1
年龄*尿酸,0,0,0,0,0
年龄*红细胞计数,0,0,0,0,0
年龄*甘油三酯,0,0,0,0,0
*丙氨酸氨基转换酶*嗜碱细胞%,0,0,0,0,0
嗜碱细胞%strong,0,0,0,0,0
单核细胞%strong,0,0,0,0,0
肌酐strong,0,0,0,0,0
白细胞计数strong,0,0,0,0,0
红细胞计数strong,0,0,0,0,0
血红蛋白strong,0,0,0,0,0
红细胞压积strong,0,0,0,0,0
红细胞平均体积strong,0,0,0,0,0
嗜酸细胞%strong,0,0,0,0,0
红细胞平均血红蛋白量strong,0,0,0,0,0
血小板计数strong,0,0,0,0,0
血小板平均体积strong,0,0,0,0,0
血小板体积分布宽度strong,0,0,0,0,0
血小板比积strong,0,0,0,0,0
中性粒细胞%strong,0,0,0,0,0
淋巴细胞%strong,0,0,0,0,0
红细胞体积分布宽度strong,0,0,0,0,0
*碱性磷酸酶**r-谷氨酰基转换酶,0,0,0,0,0
*丙氨酸氨基转换酶*尿素,0,0,0,2,0
log_嗜碱细胞%,0,0,0,0,0
*总蛋白*红细胞计数,0,0,0,0,0
*总蛋白*白细胞计数,0,0,0,0,0
白蛋白*嗜碱细胞%,0,0,0,0,0
*总蛋白*肌酐,0,0,0,0,0
*总蛋白*尿素,0,0,0,0,0
*总蛋白*低密度脂蛋白胆固醇,0,1,0,0,0
*总蛋白*高密度脂蛋白胆固醇,0,0,0,0,0
*球蛋白*白球比例,0,0,0,0,0
*总蛋白*甘油三酯,0,0,0,0,0
*总蛋白*白球比例,0,0,0,0,0
*总蛋白**球蛋白,0,0,0,0,0
*球蛋白*甘油三酯,0,0,0,0,0
*总蛋白*白蛋白,0,0,0,0,1
*球蛋白*总胆固醇,0,0,0,0,0
*球蛋白*高密度脂蛋白胆固醇,0,0,1,0,0
*r-谷氨酰基转换酶*淋巴细胞%,0,0,0,0,0
*球蛋白*低密度脂蛋白胆固醇,0,0,0,0,0
*r-谷氨酰基转换酶*中性粒细胞%,0,0,1,0,1
*r-谷氨酰基转换酶*血小板比积,0,0,0,0,0
*r-谷氨酰基转换酶*血小板体积分布宽度,0,0,0,0,0
*r-谷氨酰基转换酶*血小板平均体积,0,0,0,0,0
*r-谷氨酰基转换酶*血小板计数,0,0,0,0,0
白蛋白*血红蛋白,0,0,0,0,0
*r-谷氨酰基转换酶*红细胞平均血红蛋白浓度,0,0,0,0,0
*球蛋白*红细胞计数,0,1,0,1,0
白蛋白*嗜酸细胞%,0,0,0,0,0
白蛋白*单核细胞%,0,0,0,0,0
白蛋白*淋巴细胞%,0,0,0,0,0
*总蛋白*红细胞压积,0,0,0,0,0
白蛋白*红细胞计数,0,0,0,0,0
白蛋白*红细胞平均体积,0,0,0,0,0
白蛋白*尿酸,0,0,1,0,0
白蛋白*肌酐,0,0,0,1,0
白蛋白*尿素,0,1,0,1,0
白蛋白*低密度脂蛋白胆固醇,0,0,0,0,0
白蛋白*高密度脂蛋白胆固醇,0,0,1,0,0
白蛋白*总胆固醇,0,0,0,0,0
白蛋白*甘油三酯,0,0,0,0,0
白蛋白*白球比例,0,0,0,0,0
白蛋白**球蛋白,0,0,0,0,0
*总蛋白*嗜碱细胞%,0,1,0,0,0
*球蛋白*血红蛋白,0,0,1,1,0
*总蛋白*嗜酸细胞%,0,0,0,0,0
*总蛋白*淋巴细胞%,0,0,0,1,0
*总蛋白*中性粒细胞%,0,0,0,0,0
*总蛋白*血小板比积,0,0,0,0,0
*总蛋白*血小板平均体积,0,0,0,0,0
*总蛋白*血小板计数,0,0,0,0,0
白蛋白*红细胞体积分布宽度,0,0,0,1,0
白蛋白*血小板计数,0,0,0,0,0
白蛋白*血小板平均体积,0,0,0,0,0
*碱性磷酸酶*白蛋白,0,0,0,0,0
白蛋白*血小板体积分布宽度,0,0,0,0,0
白蛋白*血小板比积,0,0,0,0,0
白蛋白*中性粒细胞%,0,0,0,0,0
*总蛋白*单核细胞%,0,0,0,0,0
*r-谷氨酰基转换酶*红细胞平均血红蛋白量,0,0,0,0,0
*r-谷氨酰基转换酶*红细胞体积分布宽度,0,0,0,0,0
*r-谷氨酰基转换酶*红细胞压积,0,0,0,0,0
*碱性磷酸酶*血小板比积,0,0,0,0,0
*碱性磷酸酶*血小板体积分布宽度,0,0,0,0,0
*碱性磷酸酶*血小板平均体积,0,0,0,0,0
*r-谷氨酰基转换酶*红细胞平均体积,0,0,0,0,0
*碱性磷酸酶*血小板计数,0,1,0,0,0
*碱性磷酸酶*红细胞体积分布宽度,0,1,0,0,0
*碱性磷酸酶*红细胞平均血红蛋白浓度,0,0,0,0,0
*碱性磷酸酶*红细胞平均血红蛋白量,0,0,0,0,0
*碱性磷酸酶*红细胞平均体积,0,0,0,0,0
*碱性磷酸酶*红细胞压积,0,0,0,0,0
*碱性磷酸酶*血红蛋白,0,0,0,0,0
*碱性磷酸酶*红细胞计数,0,0,0,0,0
*碱性磷酸酶*肌酐,0,0,0,0,0
*碱性磷酸酶*尿素,0,0,1,0,0
*碱性磷酸酶*高密度脂蛋白胆固醇,0,0,1,0,0
*碱性磷酸酶*总胆固醇,0,0,0,0,0
