,CV0,CV1,CV2,CV3,CV4
甘油三酯*红细胞压积,4,3,8,1,2
白蛋白*淋巴细胞%,4,6,11,4,10
*r-谷氨酰基转换酶*血红蛋白,4,2,4,7,8
*r-谷氨酰基转换酶*白蛋白,4,3,3,0,1
*丙氨酸氨基转换酶*红细胞平均血红蛋白量,5,1,2,5,0
血红蛋白*红细胞压积,5,6,16,6,4
*r-谷氨酰基转换酶*低密度脂蛋白胆固醇,5,6,15,8,12
白细胞计数*血红蛋白,5,10,8,0,5
*r-谷氨酰基转换酶*红细胞平均血红蛋白量,5,3,3,2,5
低密度脂蛋白胆固醇*血红蛋白,5,9,3,0,1
甘油三酯*血红蛋白,5,4,15,2,4
红细胞平均血红蛋白量*淋巴细胞%,5,15,3,2,13
红细胞体积分布宽度*中性粒细胞%,5,19,17,13,9
甘油三酯*红细胞平均血红蛋白浓度,5,8,8,1,8
甘油三酯*红细胞体积分布宽度,5,10,11,4,7
甘油三酯*血小板计数,5,16,13,5,14
甘油三酯*血小板比积,5,12,9,1,8
白球比例*甘油三酯,5,11,13,8,9
红细胞平均血红蛋白浓度*血小板体积分布宽度,5,11,33,7,7
log_血小板比积,5,3,3,1,3
白蛋白*血小板比积,5,7,8,9,1
红细胞平均血红蛋白浓度*血小板计数,5,2,7,2,4
白蛋白*总胆固醇,5,3,13,5,8
肌酐*血小板计数,6,14,21,11,12
*天门冬氨酸氨基转换酶*血红蛋白,6,2,10,6,3
红细胞体积分布宽度*嗜碱细胞%,6,3,3,4,2
血红蛋白*血小板计数,6,7,11,5,6
红细胞体积分布宽度*嗜酸细胞%,6,3,2,3,4
低密度脂蛋白胆固醇*红细胞体积分布宽度,6,2,10,6,6
*天门冬氨酸氨基转换酶*白蛋白,6,15,16,5,9
年龄段,6,12,14,8,7
*丙氨酸氨基转换酶**总蛋白,6,0,9,4,2
log_血小板计数,6,5,11,3,2
甘油三酯*尿素,6,11,14,12,19
红细胞压积*血小板比积,6,6,20,10,10
红细胞压积*淋巴细胞%,6,8,8,11,10
log_中性粒细胞%,6,9,6,9,6
*总蛋白*尿酸,6,8,7,6,5
肌酐*淋巴细胞%,6,14,17,4,11
红细胞平均体积*血小板计数,6,7,14,2,13
中性粒细胞%*嗜酸细胞%,7,8,4,6,13
红细胞计数*单核细胞%,7,24,15,16,13
尿酸*红细胞计数,7,1,14,6,6
白蛋白*嗜碱细胞%,7,2,2,8,4
肌酐*尿酸,7,2,23,2,10
*r-谷氨酰基转换酶*尿素,7,3,7,7,5
低密度脂蛋白胆固醇*血小板比积,7,6,11,7,3
log_血小板平均体积,7,3,7,3,7
尿素*嗜酸细胞%,7,9,11,2,15
*r-谷氨酰基转换酶**球蛋白,7,15,9,6,9
白细胞计数*红细胞计数,7,12,19,3,12
*丙氨酸氨基转换酶*红细胞体积分布宽度,7,7,11,2,11
log_红细胞平均血红蛋白量,7,2,4,3,4
甘油三酯*肌酐,7,9,9,7,3
低密度脂蛋白胆固醇*淋巴细胞%,7,1,26,7,14
尿酸*红细胞平均体积,7,5,11,4,2
甘油三酯*红细胞平均体积,7,5,3,0,2
红细胞压积*嗜碱细胞%,7,10,9,4,4
*r-谷氨酰基转换酶*红细胞平均血红蛋白浓度,7,2,13,0,2
年龄*血红蛋白,7,6,10,3,6
*天门冬氨酸氨基转换酶*低密度脂蛋白胆固醇,7,6,7,7,3
红细胞压积*红细胞平均血红蛋白量,7,1,11,1,9
*天门冬氨酸氨基转换酶**总蛋白,7,11,11,5,12
红细胞计数*嗜碱细胞%,8,5,7,5,4
*丙氨酸氨基转换酶*红细胞计数,8,6,7,10,1
*总蛋白*总胆固醇,8,9,8,9,5
白蛋白*高密度脂蛋白胆固醇,8,13,7,7,5
白细胞计数*红细胞压积,8,7,3,1,10
*总蛋白*血小板计数,8,5,14,6,6
*丙氨酸氨基转换酶*血小板平均体积,8,6,4,3,8
总胆固醇*红细胞平均血红蛋白浓度,8,5,10,11,3
*丙氨酸氨基转换酶*中性粒细胞%,8,8,8,2,11
*球蛋白*嗜碱细胞%,8,8,14,7,4
*天门冬氨酸氨基转换酶*红细胞平均血红蛋白量,8,11,17,6,8
*碱性磷酸酶*红细胞计数,8,3,10,7,9
*碱性磷酸酶*白蛋白,8,7,6,2,8
低密度脂蛋白胆固醇*血小板平均体积,8,4,9,5,6
红细胞压积*红细胞平均血红蛋白浓度,8,5,7,7,2
红细胞计数*红细胞平均体积,8,21,17,6,7
*r-谷氨酰基转换酶*红细胞体积分布宽度,8,9,7,5,6
*碱性磷酸酶*红细胞平均血红蛋白量,8,7,5,2,7
血红蛋白*单核细胞%,8,18,22,8,15
肌酐*血红蛋白,9,6,9,5,11
*r-谷氨酰基转换酶*红细胞计数,9,7,4,3,0
肌酐*嗜碱细胞%,9,17,14,4,10
*总蛋白*红细胞压积,9,8,15,3,19
*总蛋白*白细胞计数,9,4,14,4,8
低密度脂蛋白胆固醇*红细胞平均血红蛋白量,9,9,2,0,1
*r-谷氨酰基转换酶*嗜酸细胞%,9,7,16,9,12
白蛋白*白细胞计数,9,7,15,6,8
肌酐*红细胞压积,9,7,13,3,9
*r-谷氨酰基转换酶*中性粒细胞%,9,12,10,11,12
总胆固醇*红细胞计数,9,6,8,5,10
*丙氨酸氨基转换酶*血小板体积分布宽度,9,10,22,8,15
年龄*红细胞压积,9,7,3,4,11
*天门冬氨酸氨基转换酶**r-谷氨酰基转换酶,9,5,16,2,6
尿酸*红细胞平均血红蛋白浓度,9,11,20,3,9
尿酸*嗜酸细胞%,9,7,15,6,12
血小板平均体积*嗜酸细胞%,9,3,6,4,9
血红蛋白*淋巴细胞%,9,5,24,1,8
年龄*白蛋白,9,6,5,4,4
*丙氨酸氨基转换酶*甘油三酯,9,9,18,11,6
*丙氨酸氨基转换酶*红细胞压积,9,0,6,1,3
*丙氨酸氨基转换酶*总胆固醇,9,7,5,5,10
log_总胆固醇,9,16,18,9,14
log_白细胞计数,9,4,16,10,10
*r-谷氨酰基转换酶*白球比例,10,4,13,7,13
白细胞计数*嗜酸细胞%,10,6,9,15,14
低密度脂蛋白胆固醇*血小板体积分布宽度,10,8,32,16,7
红细胞计数*血红蛋白,10,4,9,7,12
年龄*总胆固醇,10,17,18,7,13
*r-谷氨酰基转换酶*肌酐,10,2,5,7,2
年龄**总蛋白,10,5,10,5,1
*r-谷氨酰基转换酶*白细胞计数,10,8,16,8,12
*天门冬氨酸氨基转换酶*红细胞平均血红蛋白浓度,10,6,18,2,19
*天门冬氨酸氨基转换酶*红细胞压积,10,5,8,3,8
血红蛋白*红细胞平均体积,10,6,17,8,6
高密度脂蛋白胆固醇*血小板比积,10,6,42,9,7
血红蛋白*中性粒细胞%,10,15,29,9,12
年龄*红细胞平均体积,10,3,4,4,4
年龄*红细胞体积分布宽度,10,1,10,3,0
红细胞计数*红细胞平均血红蛋白量,10,16,11,4,5
白蛋白*白球比例,10,20,10,8,8
红细胞压积*中性粒细胞%,10,3,22,2,8
*碱性磷酸酶*血红蛋白,10,20,9,2,14
log_淋巴细胞%,10,7,12,3,7
*丙氨酸氨基转换酶*尿酸,10,9,18,6,5
尿酸*血红蛋白,10,3,10,2,12
*丙氨酸氨基转换酶*尿素,10,7,18,2,1
白细胞计数*红细胞平均血红蛋白浓度,10,7,7,3,4
log_红细胞压积,10,3,4,5,6
*碱性磷酸酶*红细胞压积,10,9,4,4,8
*丙氨酸氨基转换酶*红细胞平均体积,10,2,6,0,0
*球蛋白*甘油三酯,10,7,21,8,8
尿素*红细胞平均血红蛋白浓度,10,6,14,6,9
*碱性磷酸酶**r-谷氨酰基转换酶,10,4,6,8,5
红细胞体积分布宽度*血小板体积分布宽度,10,6,11,5,11
红细胞压积*血小板体积分布宽度,10,10,25,9,7
*碱性磷酸酶*红细胞平均体积,10,14,6,3,8
年龄*红细胞平均血红蛋白量,11,20,12,2,5
*球蛋白*中性粒细胞%,11,15,20,7,13
log_血小板体积分布宽度,11,10,10,6,4
红细胞平均血红蛋白量*单核细胞%,11,3,9,6,5
红细胞平均血红蛋白量*血小板计数,11,4,24,0,5
红细胞平均体积*嗜碱细胞%,11,5,10,4,6
白球比例*嗜碱细胞%,11,22,21,4,5
年龄**丙氨酸氨基转换酶,11,15,5,4,13
总胆固醇*血小板计数,11,4,28,3,13
淋巴细胞%*嗜酸细胞%,11,8,16,9,7
血小板平均体积*中性粒细胞%,11,7,24,17,21
低密度脂蛋白胆固醇*肌酐,11,5,12,8,3
红细胞体积分布宽度*血小板计数,11,3,18,0,18
*球蛋白*血小板计数,11,8,12,6,12
*丙氨酸氨基转换酶**碱性磷酸酶,11,5,9,7,8
*r-谷氨酰基转换酶*淋巴细胞%,11,16,19,5,14
*球蛋白*红细胞平均血红蛋白浓度,11,20,35,14,29
肌酐*嗜酸细胞%,11,8,15,5,7
*r-谷氨酰基转换酶*甘油三酯,11,21,14,7,11
*碱性磷酸酶*嗜酸细胞%,11,6,13,8,11
*碱性磷酸酶*低密度脂蛋白胆固醇,11,23,22,14,16
红细胞计数*血小板计数,11,9,5,4,14
*碱性磷酸酶*中性粒细胞%,11,5,22,6,21
尿素*血红蛋白,11,9,10,2,8
总胆固醇*肌酐,12,7,10,7,18
白蛋白*血红蛋白,12,5,37,4,5
嗜碱细胞%,12,6,11,7,6
红细胞计数*淋巴细胞%,12,12,10,8,16
log_*总蛋白,12,6,7,2,5
log_*球蛋白,12,12,2,3,3
*碱性磷酸酶*红细胞平均血红蛋白浓度,12,6,7,1,7
高密度脂蛋白胆固醇*红细胞平均血红蛋白浓度,12,8,20,6,6
年龄*肌酐,12,8,15,12,5
log_低密度脂蛋白胆固醇,12,10,9,11,12
红细胞平均体积*血小板比积,12,0,11,4,7
白球比例*低密度脂蛋白胆固醇,12,9,8,8,6
*球蛋白*血红蛋白,12,12,13,6,12
*天门冬氨酸氨基转换酶**丙氨酸氨基转换酶,12,5,6,2,0
log_*天门冬氨酸氨基转换酶,13,16,17,13,16
白细胞计数*血小板计数,13,5,10,14,19
血小板平均体积*血小板体积分布宽度,13,2,27,17,8
白球比例*红细胞压积,13,15,11,7,8
甘油三酯*淋巴细胞%,13,32,39,9,14
红细胞平均血红蛋白浓度*单核细胞%,13,10,20,7,11
红细胞平均血红蛋白浓度*血小板比积,13,2,6,5,2
*总蛋白**球蛋白,13,9,26,11,8
尿酸*红细胞压积,13,8,8,4,4
红细胞计数*血小板比积,13,16,27,9,24
高密度脂蛋白胆固醇*红细胞压积,13,15,20,3,14
高密度脂蛋白胆固醇*红细胞平均血红蛋白量,13,10,18,9,4
高密度脂蛋白胆固醇*血小板平均体积,13,7,17,10,7
总胆固醇*红细胞平均血红蛋白量,13,10,4,5,5
血红蛋白*血小板比积,13,8,22,5,7
*天门冬氨酸氨基转换酶*红细胞计数,13,12,17,9,13
总胆固醇*血小板体积分布宽度,13,17,12,13,9
白细胞计数*血小板平均体积,13,17,15,19,11
红细胞平均血红蛋白量*嗜碱细胞%,13,8,1,5,18
低密度脂蛋白胆固醇*血小板计数,13,7,14,6,17
白球比例*血红蛋白,14,11,14,5,11
低密度脂蛋白胆固醇*白细胞计数,14,2,11,5,13
年龄*红细胞计数,14,12,17,18,13
*丙氨酸氨基转换酶*嗜酸细胞%,14,13,11,8,13
肌酐*红细胞计数,14,8,5,5,8
*碱性磷酸酶*甘油三酯,14,12,26,16,13
肌酐*红细胞平均血红蛋白量,14,7,17,7,6
甘油三酯*白细胞计数,14,13,44,8,7
总胆固醇*红细胞体积分布宽度,14,22,4,8,14
红细胞体积分布宽度*血小板比积,14,3,16,6,7
*丙氨酸氨基转换酶*白球比例,14,3,7,9,6
年龄*白球比例,14,14,12,11,20
*丙氨酸氨基转换酶**r-谷氨酰基转换酶,14,11,20,1,7
红细胞平均血红蛋白浓度*血小板平均体积,14,15,32,9,14
血小板比积*嗜酸细胞%,15,7,10,11,18
血小板体积分布宽度*嗜酸细胞%,15,8,13,7,6
尿素*尿酸,15,5,22,8,18
血小板计数*嗜酸细胞%,15,3,18,8,8
红细胞平均体积*单核细胞%,15,3,19,5,20
红细胞平均血红蛋白量*血小板比积,15,1,10,3,11
白细胞计数*淋巴细胞%,15,21,34,31,22
红细胞压积*单核细胞%,15,16,20,8,6
血红蛋白*嗜碱细胞%,15,2,11,5,3
总胆固醇*白细胞计数,15,11,13,4,3
性别,15,15,6,9,22
*球蛋白*低密度脂蛋白胆固醇,15,7,12,5,2
*总蛋白*嗜碱细胞%,15,4,8,0,6
*总蛋白*淋巴细胞%,15,11,9,11,8
*丙氨酸氨基转换酶*低密度脂蛋白胆固醇,15,16,6,2,5
*天门冬氨酸氨基转换酶*甘油三酯,15,13,21,10,10
白蛋白*中性粒细胞%,15,9,19,2,23
白蛋白*红细胞压积,15,7,7,3,12
*r-谷氨酰基转换酶*血小板体积分布宽度,15,16,15,12,20
*天门冬氨酸氨基转换酶*嗜碱细胞%,15,13,19,10,8
年龄*中性粒细胞%,15,18,15,13,12
*碱性磷酸酶*白细胞计数,16,24,14,3,23
*天门冬氨酸氨基转换酶*嗜酸细胞%,16,6,19,7,11
红细胞计数*红细胞压积,16,2,8,3,10
红细胞平均体积*血小板体积分布宽度,16,7,12,5,8
*天门冬氨酸氨基转换酶*红细胞平均体积,16,9,15,5,17
尿酸*红细胞平均血红蛋白量,16,10,15,3,6
甘油三酯*血小板平均体积,16,5,18,5,4
甘油三酯*血小板体积分布宽度,16,14,13,8,16
红细胞压积*血小板计数,16,5,4,3,4
年龄*嗜碱细胞%,16,11,21,9,22
*总蛋白*血小板体积分布宽度,16,15,11,7,18
*天门冬氨酸氨基转换酶*尿素,16,10,17,7,12
肌酐*血小板比积,16,16,9,9,6
尿素*红细胞压积,16,3,16,1,20
血红蛋白*红细胞平均血红蛋白量,16,13,31,5,11
高密度脂蛋白胆固醇*红细胞平均体积,16,10,15,10,3
高密度脂蛋白胆固醇*低密度脂蛋白胆固醇,16,15,16,10,23
总胆固醇*红细胞平均体积,16,8,17,6,9
白球比例*血小板比积,16,15,24,13,23
血小板比积*嗜碱细胞%,16,13,24,6,10
白球比例*尿酸,16,10,26,9,4
白球比例*红细胞平均体积,16,18,23,4,6
log_白蛋白,16,5,10,5,7
*球蛋白*血小板比积,16,11,12,6,4
白细胞计数*红细胞平均体积,16,10,15,8,6
血小板计数*中性粒细胞%,16,20,14,0,16
白球比例*血小板体积分布宽度,16,15,31,12,23
白球比例*红细胞平均血红蛋白量,16,8,20,14,9
*碱性磷酸酶**球蛋白,17,12,14,7,21
*碱性磷酸酶*高密度脂蛋白胆固醇,17,46,39,18,16
*r-谷氨酰基转换酶*总胆固醇,17,4,10,6,7
血红蛋白*红细胞平均血红蛋白浓度,17,7,8,4,2
白球比例,17,4,14,2,12
*球蛋白*嗜酸细胞%,17,11,7,3,4
log_尿酸,17,8,17,12,12
白球比例*总胆固醇,17,4,14,8,11
*球蛋白*血小板体积分布宽度,17,18,19,5,15
高密度脂蛋白胆固醇*红细胞体积分布宽度,17,10,25,7,27
肌酐*血小板体积分布宽度,17,18,23,8,13
肌酐*白细胞计数,17,13,7,7,11
低密度脂蛋白胆固醇*尿素,17,9,8,6,18
尿素*血小板比积,17,16,23,4,10
血小板体积分布宽度*嗜碱细胞%,17,6,24,8,6
红细胞计数*血小板体积分布宽度,17,5,17,11,13
红细胞计数*红细胞平均血红蛋白浓度,17,22,33,8,17
*球蛋白*总胆固醇,17,10,34,13,8
*丙氨酸氨基转换酶**球蛋白,17,6,21,10,14
肌酐*红细胞平均体积,17,18,20,16,8
血小板计数*血小板体积分布宽度,17,13,10,10,16
尿酸*红细胞体积分布宽度,17,15,23,11,10
*碱性磷酸酶*血小板比积,17,9,6,0,9
白细胞计数*红细胞平均血红蛋白量,18,5,4,20,3
*丙氨酸氨基转换酶*血小板计数,18,3,24,9,16
*总蛋白*血小板比积,18,7,8,5,9
总胆固醇*淋巴细胞%,18,5,14,9,21
尿酸*血小板体积分布宽度,18,12,11,12,15
*天门冬氨酸氨基转换酶*肌酐,18,15,18,7,14
*r-谷氨酰基转换酶*血小板计数,18,2,22,5,9
白球比例*白细胞计数,18,9,13,3,9
log_红细胞体积分布宽度,18,14,18,10,17
尿素*嗜碱细胞%,18,18,22,13,22
红细胞体积分布宽度*血小板平均体积,18,23,27,14,13
*总蛋白*单核细胞%,18,11,22,9,22
*总蛋白*肌酐,18,7,14,14,12
红细胞平均血红蛋白量*中性粒细胞%,18,7,23,5,5
年龄*高密度脂蛋白胆固醇,18,14,13,10,13
红细胞平均体积*淋巴细胞%,18,14,11,3,10
红细胞平均体积*中性粒细胞%,18,8,8,6,7
红细胞平均体积*血小板平均体积,18,18,13,9,15
*碱性磷酸酶*肌酐,18,20,25,18,21
*天门冬氨酸氨基转换酶**碱性磷酸酶,18,2,29,10,9
白蛋白*尿酸,18,8,8,6,4
尿素*血小板体积分布宽度,18,11,28,11,17
*r-谷氨酰基转换酶*高密度脂蛋白胆固醇,18,10,12,9,16
*总蛋白*高密度脂蛋白胆固醇,19,13,26,11,21
尿素*中性粒细胞%,19,20,14,12,17
高密度脂蛋白胆固醇*嗜碱细胞%,19,12,23,16,11
血红蛋白*血小板体积分布宽度,19,8,25,17,11
年龄**天门冬氨酸氨基转换酶,19,16,21,7,20
*球蛋白*白细胞计数,19,12,11,14,27
尿酸*中性粒细胞%,19,12,29,9,17
血小板比积*单核细胞%,19,11,16,10,14
中性粒细胞%*淋巴细胞%,19,25,33,6,36
年龄*血小板计数,19,10,22,5,21
红细胞平均体积*红细胞平均血红蛋白量,19,14,28,25,29
红细胞体积分布宽度*淋巴细胞%,19,14,24,18,17
总胆固醇*高密度脂蛋白胆固醇,19,8,16,7,20
白蛋白*肌酐,19,11,14,10,8
血红蛋白*红细胞体积分布宽度,19,29,30,11,16
总胆固醇*血小板平均体积,19,2,10,9,5
log_血红蛋白,19,7,11,6,9
血小板体积分布宽度*中性粒细胞%,20,26,38,15,41
log_红细胞平均血红蛋白浓度,20,13,29,19,19
尿素*红细胞体积分布宽度,20,7,16,11,10
单核细胞%*嗜酸细胞%,20,3,19,5,3
*球蛋白*红细胞体积分布宽度,20,21,29,3,18
*碱性磷酸酶*红细胞体积分布宽度,20,7,17,12,8
红细胞平均血红蛋白浓度*中性粒细胞%,20,9,8,12,8
年龄**碱性磷酸酶,20,2,28,17,15
年龄**r-谷氨酰基转换酶,20,7,12,13,6
年龄*淋巴细胞%,20,14,28,7,24
年龄*单核细胞%,20,17,32,12,13
尿酸*白细胞计数,20,16,26,2,18
*丙氨酸氨基转换酶*肌酐,20,5,8,1,2
血小板计数*淋巴细胞%,20,19,24,5,14
*丙氨酸氨基转换酶*血小板比积,20,9,12,6,9
甘油三酯*尿酸,20,9,19,7,7
白球比例*淋巴细胞%,20,17,20,13,27
高密度脂蛋白胆固醇*嗜酸细胞%,20,9,19,8,10
*球蛋白*单核细胞%,20,26,46,12,27
白球比例*红细胞计数,20,10,19,6,6
白球比例*肌酐,20,15,24,17,12
总胆固醇*中性粒细胞%,20,13,11,7,15
*r-谷氨酰基转换酶*尿酸,20,2,9,5,7
*天门冬氨酸氨基转换酶*尿酸,21,14,21,14,8
血小板体积分布宽度*单核细胞%,21,19,27,15,20
血小板比积*中性粒细胞%,21,17,22,14,13
白蛋白*血小板体积分布宽度,21,5,16,7,22
*总蛋白*尿素,21,7,18,4,6
年龄*血小板平均体积,21,12,9,5,24
嗜酸细胞%*嗜碱细胞%,21,13,16,10,7
白蛋白*血小板计数,21,11,12,6,11
*总蛋白*血红蛋白,21,15,9,10,6
尿素*红细胞平均体积,21,19,19,7,7
甘油三酯*嗜酸细胞%,21,19,14,10,11
*球蛋白*红细胞平均血红蛋白量,22,19,15,20,13
总胆固醇*血小板比积,22,9,16,0,9
*r-谷氨酰基转换酶*血小板比积,22,10,5,2,3
尿酸*淋巴细胞%,22,25,21,12,21
log_红细胞平均体积,22,13,17,9,14
尿素*红细胞平均血红蛋白量,22,9,15,6,8
*天门冬氨酸氨基转换酶*血小板平均体积,22,14,12,4,9
尿酸*血小板比积,22,22,21,15,24
白球比例*中性粒细胞%,22,25,11,17,19
log_尿素,22,22,26,18,20
log_高密度脂蛋白胆固醇,22,9,13,6,11
log_*丙氨酸氨基转换酶,22,23,22,18,17
*丙氨酸氨基转换酶*白细胞计数,22,2,17,3,14
*球蛋白*尿素,23,9,14,11,19
红细胞平均血红蛋白量*血小板体积分布宽度,23,8,20,3,17
年龄*嗜酸细胞%,23,17,14,15,18
年龄*尿酸,23,16,24,12,11
*天门冬氨酸氨基转换酶*总胆固醇,23,3,4,4,9
高密度脂蛋白胆固醇*尿素,23,28,38,10,13
*丙氨酸氨基转换酶*淋巴细胞%,23,10,22,6,10
总胆固醇*嗜碱细胞%,23,6,18,25,12
红细胞平均血红蛋白量*血小板平均体积,23,9,30,10,20
白蛋白*单核细胞%,23,21,18,10,3
*球蛋白*血小板平均体积,23,23,39,19,24
*碱性磷酸酶*嗜碱细胞%,23,27,20,12,15
*球蛋白*尿酸,23,17,33,10,10
白球比例*血小板计数,23,17,22,21,11
*碱性磷酸酶*总胆固醇,23,19,3,7,9
*碱性磷酸酶*白球比例,23,13,20,17,10
*球蛋白*红细胞计数,23,15,16,8,15
*碱性磷酸酶**总蛋白,23,7,9,5,11
白蛋白*红细胞平均体积,24,16,23,10,16
白细胞计数*中性粒细胞%,24,16,22,10,8
肌酐*红细胞平均血红蛋白浓度,24,8,23,10,5
*碱性磷酸酶*血小板平均体积,24,8,16,10,12
年龄*低密度脂蛋白胆固醇,24,10,14,12,9
尿酸*血小板平均体积,24,10,17,10,16
红细胞计数*中性粒细胞%,24,21,13,4,11
高密度脂蛋白胆固醇*中性粒细胞%,24,13,26,16,12
高密度脂蛋白胆固醇*血小板体积分布宽度,24,25,35,18,23
高密度脂蛋白胆固醇*血小板计数,24,13,33,10,11
尿素*红细胞计数,24,7,15,1,9
年龄**球蛋白,24,10,17,11,28
总胆固醇*尿酸,25,10,11,9,10
白细胞计数*血小板比积,25,12,33,11,27
单核细胞%*嗜碱细胞%,25,20,31,20,22
年龄*血小板比积,25,7,13,11,18
白球比例*血小板平均体积,25,12,20,9,22
*丙氨酸氨基转换酶*高密度脂蛋白胆固醇,25,5,25,14,22
*天门冬氨酸氨基转换酶*血小板体积分布宽度,25,9,25,8,13
log_红细胞计数,25,6,21,12,19
血小板平均体积*血小板比积,25,6,10,7,10
白球比例*红细胞体积分布宽度,25,19,31,24,14
*总蛋白*红细胞计数,25,18,19,2,8
尿素*肌酐,25,23,36,21,18
*丙氨酸氨基转换酶*嗜碱细胞%,25,21,18,16,19
年龄*尿素,25,9,21,13,8
*球蛋白*淋巴细胞%,26,1,27,12,13
白蛋白*尿素,26,6,10,5,8
白球比例*高密度脂蛋白胆固醇,26,9,19,2,12
白蛋白*红细胞平均血红蛋白量,26,20,32,15,9
低密度脂蛋白胆固醇*嗜酸细胞%,26,9,23,5,9
血小板比积*淋巴细胞%,26,9,30,7,10
血小板平均体积*淋巴细胞%,26,25,27,19,24
红细胞体积分布宽度*单核细胞%,26,16,10,5,9
红细胞压积*红细胞平均体积,26,27,20,8,22
中性粒细胞%*嗜碱细胞%,26,15,12,5,9
低密度脂蛋白胆固醇*嗜碱细胞%,26,19,20,12,11
尿素*血小板平均体积,26,14,23,3,26
*r-谷氨酰基转换酶*单核细胞%,26,6,36,17,15
*总蛋白*白蛋白,26,22,35,14,24
*总蛋白*红细胞平均体积,26,14,17,11,19
*碱性磷酸酶*尿素,27,3,17,16,11
低密度脂蛋白胆固醇*单核细胞%,27,16,25,19,16
*球蛋白*白球比例,27,24,42,13,16
高密度脂蛋白胆固醇*血红蛋白,27,5,13,11,17
白蛋白*红细胞计数,27,11,11,7,11
白细胞计数*红细胞体积分布宽度,27,11,19,6,12
*天门冬氨酸氨基转换酶*白球比例,27,15,20,17,21
*丙氨酸氨基转换酶*单核细胞%,27,10,34,10,10
血红蛋白*血小板平均体积,27,23,26,9,15
红细胞计数*血小板平均体积,27,10,25,7,12
*天门冬氨酸氨基转换酶*血小板计数,27,13,20,15,23
肌酐*血小板平均体积,27,19,32,9,4
白细胞计数*嗜碱细胞%,27,13,36,15,10
*碱性磷酸酶*血小板计数,28,20,16,12,15
尿酸*嗜碱细胞%,28,16,25,6,7
血小板体积分布宽度*血小板比积,28,29,76,29,39
*天门冬氨酸氨基转换酶*血小板比积,28,19,20,11,17
肌酐*中性粒细胞%,29,21,33,17,11
*总蛋白*红细胞平均血红蛋白量,29,14,23,4,6
尿素*淋巴细胞%,29,20,39,18,20
高密度脂蛋白胆固醇*淋巴细胞%,29,5,38,18,46
年龄*血小板体积分布宽度,29,19,35,16,29
年龄*甘油三酯,29,25,17,6,17
*总蛋白*中性粒细胞%,30,15,11,7,18
红细胞平均血红蛋白量,30,37,30,30,32
尿素*血小板计数,30,8,30,12,7
*总蛋白*血小板平均体积,30,16,25,16,12
血小板比积,30,14,19,23,44
甘油三酯*低密度脂蛋白胆固醇,30,23,19,1,5
淋巴细胞%*单核细胞%,30,26,24,14,21
血小板计数*嗜碱细胞%,30,21,16,11,19
红细胞计数*红细胞体积分布宽度,31,45,43,33,34
甘油三酯*中性粒细胞%,31,5,9,11,9
*碱性磷酸酶*淋巴细胞%,31,28,31,22,25
